"Incheon","0-4 Years old",125447,64454,60993,105.70
"Incheon","5-9 Years old",133355,68755,64600,106.40
"Incheon","10-14 Years old",178382,92571,85811,107.90
"Incheon","15-19 Years old",198204,104048,94156,110.50
"Incheon","20-24 Years old",173656,91191,82465,110.60
"Incheon","25-29 Years old",200048,101564,98484,103.10
"Incheon","30-34 Years old",207697,106099,101598,104.40
"Incheon","35-39 Years old",232540,117276,115264,101.70
"Incheon","40-44 Years old",240289,118836,121453,97.80
"Incheon","45-49 Years old",248709,124696,124013,100.60
"Incheon","50-54 Years old",217853,110606,107247,103.10
"Incheon","55-59 Years old",140003,70683,69320,102.00
"Incheon","60-64 Years old",103653,51458,52195,98.60
"Incheon","65-69 Years old",79943,37313,42630,87.50
"Incheon","70-74 Years old",65619,27641,37978,72.80
"Incheon","75-79 Years old",44994,16478,28516,57.80
"Incheon","80-84 Years old",25334,7559,17775,42.50
"Incheon","85 Years old & over",16309,4334,11975,36.20
"Incheon","14 and under",437184,225780,211404,106.80
"Incheon","15 - 64 Years old",1962652,996457,966195,103.10
"Incheon","65 Years old",232199,93325,138874,67.20
"Incheon","Mean age",36.9,35.9,37.8,-
"Incheon","Median age",37.3,36.3,38.1,-
"Gwangju","Total",1466143,724161,741982,97.60
"Gwangju","0-4 Years old",73014,37690,35324,106.70
"Gwangju","5-9 Years old",82288,42791,39497,108.30
"Gwangju","10-14 Years old",113885,59228,54657,108.40
"Gwangju","15-19 Years old",120610,62759,57851,108.50
"Gwangju","20-24 Years old",104075,53053,51022,104.00
"Gwangju","25-29 Years old",113039,56666,56373,100.50
"Gwangju","30-34 Years old",114706,56845,57861,98.20
"Gwangju","35-39 Years old",126152,62120,64032,97.00
"Gwangju","40-44 Years old",127527,63159,64368,98.10
"Gwangju","45-49 Years old",118774,59135,59639,99.20
"Gwangju","50-54 Years old",105584,51876,53708,96.60
"Gwangju","55-59 Years old",73008,35647,37361,95.40
"Gwangju","60-64 Years old",60344,28948,31396,92.20
"Gwangju","65-69 Years old",46452,21725,24727,87.90
"Gwangju","70-74 Years old",37519,16175,21344,75.80
"Gwangju","75-79 Years old",25746,9710,16036,60.60
"Gwangju","80-84 Years old",14502,4588,9914,46.30
"Gwangju","85 Years old & over",8918,2046,6872,29.80
"Gwangju","14 and under",269187,139709,129478,107.90
"Gwangju","15 - 64 Years old",1063819,530208,533611,99.40
"Gwangju","65 Years old",133137,54244,78893,68.80
"Gwangju","Mean age",35.9,34.8,37.0,-
"Gwangju","Median age",35.5,34.4,36.6,-
"Daejeon","Total",1490158,745150,745008,100.00
"Daejeon","0-4 Years old",71984,37100,34884,106.40
"Daejeon","5-9 Years old",79733,41387,38346,107.90
"Daejeon","10-14 Years old",104938,54688,50250,108.80
"Daejeon","15-19 Years old",120208,63941,56267,113.60
"Daejeon","20-24 Years old",115453,61781,53672,115.10
"Daejeon","25-29 Years old",114615,58900,55715,105.70
"Daejeon","30-34 Years old",115328,57230,58098,98.50
"Daejeon","35-39 Years old",129017,64155,64862,98.90
"Daejeon","40-44 Years old",129921,64284,65637,97.90
"Daejeon","45-49 Years old",125691,62446,63245,98.70
"Daejeon","50-54 Years old",114889,57176,57713,99.10
"Daejeon","55-59 Years old",79161,39581,39580,100.00
"Daejeon","60-64 Years old",58205,28789,29416,97.90
"Daejeon","65-69 Years old",45104,21049,24055,87.50
"Daejeon","70-74 Years old",36955,15974,20981,76.10
"Daejeon","75-79 Years old",25494,9699,15795,61.40
"Daejeon","80-84 Years old",14406,4563,9843,46.40
"Daejeon","85 Years old & over",9056,2407,6649,36.20
"Daejeon","14 and under",256655,133175,123480,107.90
"Daejeon","15 - 64 Years old",1102488,558283,544205,102.60
"Daejeon","65 Years old",131015,53692,77323,69.40
"Daejeon","Mean age",36.2,35.1,37.2,-
"Daejeon","Median age",36.0,34.8,37.1,-
"Ulsan","Total",1071673,550869,520804,105.80
"Ulsan","0-4 Years old",54555,28391,26164,108.50
"Ulsan","5-9 Years old",57544,30386,27158,111.90
"Ulsan","10-14 Years old",81816,43449,38367,113.20
"Ulsan","15-19 Years old",83401,46769,36632,127.70
"Ulsan","20-24 Years old",59513,34601,24912,138.90
"Ulsan","25-29 Years old",75807,39855,35952,110.90
"Ulsan","30-34 Years old",85342,44349,40993,108.20
"Ulsan","35-39 Years old",95126,47004,48122,97.70
"Ulsan","40-44 Years old",105585,52185,53400,97.70
"Ulsan","45-49 Years old",105437,54554,50883,107.20
"Ulsan","50-54 Years old",91127,46599,44528,104.70
"Ulsan","55-59 Years old",61284,31807,29477,107.90
"Ulsan","60-64 Years old",40023,20867,19156,108.90
"Ulsan","65-69 Years old",27642,13253,14389,92.10
"Ulsan","70-74 Years old",20895,8994,11901,75.60
"Ulsan","75-79 Years old",13799,4841,8958,54.00
"Ulsan","80-84 Years old",7883,2048,5835,35.10
"Ulsan","85 Years old & over",4894,917,3977,23.10
"Ulsan","14 and under",193915,102226,91689,111.50
"Ulsan","15 - 64 Years old",802645,418590,384055,109.00
"Ulsan","65 Years old",75113,30053,45060,66.70
"Ulsan","Mean age",36.0,35.0,37.1,-
"Ulsan","Median age",37.1,35.9,38.2,-
"Gyeonggi-do","Total",11196053,5599570,5596483,100.10
"Gyeonggi-do","0-4 Years old",599224,307459,291765,105.40
"Gyeonggi-do","5-9 Years old",635460,328270,307190,106.90
"Gyeonggi-do","10-14 Years old",797332,413012,384320,107.50
"Gyeonggi-do","15-19 Years old",815660,426147,389513,109.40
"Gyeonggi-do","20-24 Years old",685567,357162,328405,108.80
"Gyeonggi-do","25-29 Years old",821115,416451,404664,102.90
"Gyeonggi-do","30-34 Years old",924453,461923,462530,99.90
