"city","city_type","year","mean_pm25","mean_pm10","mean_o3","mean_no2","mean_so2","mean_co","n_days"
"Seoul","Inland",2014,75,46.4210526315789,24.9723756906077,39.03591160221,8.11325966850829,5.96961325966851,363
"Seoul","Inland",2015,84.1730769230769,46.4203296703297,25.3983516483516,36.3379120879121,8.32967032967033,6.24175824175824,365
"Seoul","Inland",2016,91.8314917127072,49.969696969697,26.3553719008265,35.771349862259,7.15426997245179,6.15151515151515,363
"Seoul","Inland",2017,89.6973684210526,49.3947368421053,27.3453947368421,34.5082508250825,6.63815789473684,6.12171052631579,308
"Seoul","Inland",2018,82.0273972602739,41.782967032967,27.1318681318681,30.4198895027624,5.76098901098901,5.9478021978022,365
"Seoul","Inland",2019,82.7548209366391,41.2203856749312,29.0909090909091,31.2194444444445,5.08264462809917,5.77134986225895,364
"Seoul","Inland",2020,73.3581267217631,36.3296703296703,28.4285714285714,26.1978021978022,3.73076923076923,5.12087912087912,365
"Seoul","Inland",2021,70.172602739726,37.4191780821918,32.4493150684931,26.6383561643836,3.61917808219178,5.06575342465753,365
"Seoul","Inland",2022,67.545205479452,34.1808219178082,33.3315068493151,23.2219178082192,3.37260273972603,4.67671232876712,365
"Seoul","Inland",2023,71.4054794520548,37.5506849315069,36.8301369863014,22.1342465753425,3.56438356164383,5.12328767123288,365
"Seoul","Inland",2024,66.0082191780822,32.9945054945055,38.2362637362638,19.9862637362637,3.63461538461539,4.83516483516484,365
"Seoul","Inland",2025,62.9309392265193,32.8397790055249,39.0524861878453,19.1850828729282,3.60497237569061,4.64364640883978,363
